Dist or Undist,Stat. Name,Date,Quarter,Flow (GPM),Flow(cfs),pH,EC(umhos),TDS(mg/L),TSS(mg/L),TSM(ml/L),Diss Fe (mg/L),Total Fe (mg/L),Diss Mn (mg/L),Total Mn (mg/L)
baseline,SW-4(B-2),2/23/1988,Q1/88,,0.41,6.7,280,,,,,,,
baseline,SW-4(B-2),3/22/1988,Q1/88,,0.36,7.1,372,,,,,,,
baseline,SW-4(B-2),4/28/1988,Q2/88,,0,,,,,,,,,
baseline,SW-4(B-2),5/18/1988,Q2/88,,0,,,,,,,,,
baseline,SW-4(B-2),6/28/1988,Q2/88,,0,,,,,,,,,
baseline,SW-4(B-2),7/21/1988,Q3/88,,0,,,,,,,,,
baseline,SW-4(B-2),8/18/1988,Q3/88,,0,,,,,,,,,
baseline,SW-4(B-2),9/28/1988,Q3/88,,0,,,,,,,,,
baseline,SW-4(B-2),10/22/1988,Q4/88,,0,,,,,,,,,
baseline,SW-4(B-2),11/16/1988,Q4/88,,1.33,8.2,89,,,,,,,
baseline,SW-4(B-2),12/13/1988,Q4/88,,2.96,7.4,110,,,,,,,
baseline,SW-4(B-2),1/24/1989,Q1/89,,0,,,,,,,,,
